name,cost,types,presents,text
Delivery Run,$5,Rest,,"Delivery: If you have 2+ Reindeer and 1+ Sled this turn, gain a Robo-Elf Assistant.
Rest"
Rooftop Drop,$4,Rest,,"Delivery: If you have 2+ Reindeer and 1+ Sled this turn, gain a Toy Conveyor Belt, then +2 Cards.
Rest"
Express Sleigh,$7,Rest,,"+2 Reindeer
+2 Sled
Delivery: gain a Robo-Elf Assistant.
Rest"
Midnight Flight,$8,Rest,,"Delivery: If you have 4+ Reindeer and 2+ Sled this turn, gain a Fully Automated Toy Factory.
Rest"
Team Harness,$4,Action,,"+1 Card
+1 Reindeer
+1 Sled"
Feed Bag,$2,Rest,,"+$1
+1 Reindeer
Rest"
Sleigh Garage,$5,Rest,,"+2 Sled
+1 Buy
Rest"
Dasher,$5,Action,,"+1 Card
+2 Reindeer"
Dancer,$5,Rest,,"+2 Reindeer
+$1
Rest"
Vixen,$4,Action,,"+1 Card
+1 Reindeer"
Comet,$6,Rest,,"+3 Reindeer
+1 Buy
Rest"
Cupid,$4,Action,,"+1 Card
+1 Sled"
Donner,$5,Rest,,"+2 Sled
+1 Card
Rest"
Rudolph,$6,Rest,,"+2 Reindeer
+2 Sled
While this is in play, your Deliveries need 1 fewer Reindeer.
Rest"
Loaded Sleigh,$6,Rest,,"Delivery: If you have 3+ Reindeer, gain up to two Robo-Elf Assistants (one per 2 Sled you have).
Rest"
Stable Master,$5,Action,,"+1 Card
+2 Reindeer"
Sleigh Mechanic,$4,Action,,Gain a Sleigh Wax Job.
Bionic Antler Upgrade,$5,Reindeer,,"+2 Reindeer
When you play this, +1 Card."
Nice List Bonus,$5,Rest,,"+2 Cards
+1 Buy
Each other player draws a card.
Rest"
Secret Santa,$3,Action,,"+2 Cards
Each player passes a card from their hand to the player on their left, at once."
Regifting,$4,Rest,,"You may trash a Present from your hand. If you do, +$ equal to its cost plus $1.
Rest"
Holiday Cheer,$6,Rest,,"+2 Cards
+1 Buy
+$2
Rest"
Sugar Rush,$3,Action,,"+1 Card
The next 2 cards you play this turn lose Rest."
Long Winter,$5,Rest,,"Now and at the start of your next turn: +1 Card and +$1.
Rest"
Mrs. Claus,$5,Action,,"+1 Card
+1 Reindeer
+1 Sled
+$1"
Santa's Sack,$6,Rest,,"Delivery: If you have 3+ Reindeer and 2+ Sled this turn, gain a Present costing up to $8.
Rest"
